ts	pods	variant	series	failed	wall	panics	timeouts	restarts
14:43:59	315	pne	1226	10	0.7917	0	0	0
14:43:59	315	dep	1123	10	0.5637	0	0	0
14:43:59	315	nodep	1084	1	0.5113	0	0	0
14:46:14	736	pne	730	10	0.5085	0	0	2
14:46:14	736	dep	692	10	1.7837	0	0	0
14:46:14	736	nodep	672	1	0.2575	0	0	0
14:48:39	1167	pne	1033	10	0.1913	0	0	4
14:48:39	1167	dep	979	10	0.4031	0	0	0
14:48:39	1167	nodep	959	1	0.6478	0	0	0
14:50:52	1569	pne	682	10	1.3611	0	0	4
14:50:52	1569	dep	656	10	0.0367	0	0	0
14:50:52	1569	nodep	636	1	2.1309	0	0	0
14:53:32	2033	pne	993	10	0.2367	0	0	5
14:53:32	2033	dep	907	10	0.4548	0	0	0
14:53:32	2033	nodep	906	1	0.2536	0	0	0
14:55:45	2434	pne	734	11	0.6067	0	0	6
14:55:45	2434	dep	871	10	0.5683	0	0	0
14:55:45	2434	nodep	978	1	0.4108	0	0	0
14:57:58	2802	pne	885	10	0.1050	0	0	6
14:57:58	2802	dep	835	10	0.3608	0	0	0
14:57:58	2802	nodep	815	1	0.2772	0	0	0
15:00:11	2146	pne	1121	10	0.3070	0	0	7
15:00:11	2146	dep	1049	10	0.1194	0	0	0
15:00:11	2146	nodep	1029	1	0.3035	0	0	0
15:02:34	2553	pne	957	10	1.0743	0	0	7
15:02:34	2553	dep	905	10	0.7224	0	0	0
15:02:34	2553	nodep	885	1	0.4335	0	0	0
15:04:47	2938	pne	963	10	0.1233	0	0	7
15:04:47	2938	dep	905	10	0.1665	0	0	0
15:04:47	2938	nodep	885	1	0.2045	0	0	0
15:06:58	2843	pne	681	10	0.1647	0	0	8
15:06:58	2843	dep	655	10	0.0338	0	0	0
15:06:58	2843	nodep	635	1	0.0385	0	0	0
